Gridid,Ph,N_a_,OM,P,Ca,Mg,K,Ave_vshall,Ave_vdeep,Ave_elev,Ave_em,Band1,Band2,Band3,Band4,Band5,Band6,Band7,Band8,Band9,Band10,Band11,Band12,Band13,Band14,Band15,Band16,Band17,Band18,Band19,Band20,Band21,Band22,Band23,Band24,Band25,Band26,Band27,Band28,Band29,Band30,Band31,Band32,Band33,Band34,Band35,Band36,Band37,Band38,Band39,Band40,Band41,Band42,Band43,Band44,Band45,Band46,Band47,Band48,Band49,Band50,Band51,Band52,Band53,Band54,Band55,Band56,Band57,Band58,Band59,Band60,Band61,Band62,Band63,Band64,Band65,Band66,Band67,Band68,Band69,Band70,Band71,Band72,Band73,Band74,Band75,Band76,Band77,Band78,Band79,Band80,Band81,Band82,Band83,Band84,Band85,Band86,Band87,Band88,Band89,Band90,Band91,Band92,Band93,Band94,Band95,Band96,Band97,Band98,Band99,Band100,Band101,Band102,Band103,Band104,Band105,Band106,Band107,Band108,Band109,Band110,Band111,Band112,Band113,Band114,Band115,Band116,Band117,Band118,Band119,Band120
int,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double
na,out,out,out,out,out,out,out,out,out,out,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in
9,6.1,2,2.7,18,4212,320,186,9.3684,12.5474,293.9667,27.2567,12.5755,12.2162,12.6157,12.8029,12.638,12.499,12.824,12.8894,13.1158,13.5132,12.4544,12.9018,13.3189,12.751,13.22,13.0834,13.4443,13.6747,13.4526,13.7475,13.7281,14.0114,14.0983,14.3911,14.277,14.4333,14.6133,14.9112,14.8256,15.1729,15.2975,15.2345,15.5427,15.8707,15.8192,15.8987,15.9476,16.1524,16.1692,16.2003,16.5143,16.6563,16.7163,16.7181,16.739,16.8736,16.9653,17.1364,17.1361,17.2993,17.4172,17.6018,17.7206,17.9272,17.8993,18.1809,18.7588,17.628,18.2794,18.4142,18.5861,18.6875,18.7153,18.9079,19.0292,19.227,20.4863,18.4543,18.7644,18.9692,19.0388,18.9001,18.6305,18.797,18.6298,18.6515,19.6514,18.7642,18.7606,18.7998,18.7161,18.1387,18.3832,18.2984,18.1492,17.9975,18.1435,18.3579,18.3389,18.6713,25.1398,18.2942,16.9668,18.4399,19.2428,19.3854,19.6491,19.7813,20.0999,20.3862,20.6606,20.877,20.903,21.3144,21.5377,21.8201,22.1568,22.6823,23.9881,23.9615,23.6272,24.5615,24.6701,24.683,24.9858,24.8626,25.2132,25.5273,25.7658,26.2081
10,5.9,2.5,2.2,33,4700,524,235,15.2409,23.4045,293.6958,32.1546,12.7211,12.3702,12.785,12.9922,12.8285,12.6971,13.0251,13.0771,13.3242,13.738,12.704,13.1716,13.6302,13.013,13.4988,13.4298,13.7812,14.0378,13.8381,14.1498,14.1471,14.4509,14.556,14.8848,14.7806,14.9613,15.1594,15.4832,15.4099,15.7817,15.9233,15.8718,16.2018,16.5486,16.5073,16.5982,16.66,16.8824,16.913,16.9468,17.2765,17.4244,17.4964,17.4996,17.5201,17.6703,17.7621,17.944,17.9487,18.1252,18.2491,18.4378,18.5621,18.7817,18.7468,19.0409,19.6449,18.4517,19.1402,19.2743,19.4514,19.5604,19.5862,19.785,19.9093,20.1166,21.4359,19.2997,19.6463,19.8873,19.978,19.8464,19.5784,19.7761,19.6156,19.6466,20.7036,19.7554,19.7768,19.8256,19.7384,19.1387,19.4159,19.3322,19.184,19.0269,19.1776,19.3993,19.3793,19.737,26.5388,19.0916,17.8029,19.4454,20.3062,20.445,20.7159,20.8356,21.1651,21.4561,21.7426,21.9617,21.9763,22.3933,22.6107,22.8877,23.2378,23.7714,25.1099,25.0404,24.6753,25.6313,25.7678,25.7568,26.0593,25.9153,26.2825,26.6061,26.8263,27.273
11,6,2,2.2,17,4329,394,188,11.3926,13.6889,293.1348,25.2626,12.6205,12.2693,12.674,12.878,12.7172,12.5794,12.922,12.9796,13.233,13.6453,12.5915,13.0478,13.5338,12.9149,13.4062,13.3001,13.6516,13.917,13.7086,14.0122,14.0063,14.3064,14.4122,14.7173,14.6075,14.7805,14.9715,15.2874,15.2095,15.5728,15.706,15.6532,15.977,16.3153,16.2766,16.3612,16.4192,16.6375,16.6676,16.7001,17.0272,17.1768,17.2475,17.2501,17.272,17.4285,17.516,17.6956,17.6983,17.8765,17.9995,18.1894,18.3099,18.5294,18.4945,18.7847,19.3885,18.2051,18.8895,19.0244,19.203,19.3114,19.3376,19.5354,19.6605,19.8682,21.1783,19.0599,19.3965,19.6292,19.7118,19.573,19.2999,19.4864,19.3228,19.35,20.3933,19.4616,19.4724,19.524,19.4396,18.8473,19.1193,19.0422,18.8976,18.7451,18.8979,19.1201,19.1021,19.4585,26.1953,18.8827,17.5782,19.1824,20.0345,20.1768,20.4453,20.5695,20.8972,21.1877,21.4737,21.692,21.7103,22.1266,22.346,22.624,22.971,23.506,24.8389,24.7775,24.4185,25.373,25.504,25.4992,25.8052,25.6662,26.0295,26.3516,26.5745,27.0228
12,6.3,1.5,2.2,25,4380,329,203,14.144,16.036,292.5368,26.2845,12.1039,11.7738,12.1852,12.4023,12.2572,12.1272,12.4599,12.5055,12.7683,13.1869,12.1805,12.6393,13.1292,12.526,13.0402,12.9638,13.3145,13.5974,13.4107,13.7335,13.7459,14.0585,14.1796,14.5347,14.4466,14.643,14.8549,15.1904,15.134,15.5168,15.6653,15.6243,15.9652,16.3205,16.293,16.3855,16.4585,16.6863,16.7265,16.7621,17.0958,17.2496,17.3257,17.334,17.354,17.5126,17.6054,17.7906,17.7966,17.9814,18.1072,18.2992,18.4257,18.6525,18.6161,18.9115,19.5266,18.321,19.023,19.1598,19.3405,19.4553,19.4836,19.6857,19.8123,20.0223,21.3531,19.2042,19.5566,19.8176,19.9197,19.7994,19.5417,19.7546,19.6059,19.6462,20.7251,19.7713,19.7962,19.8616,19.7833,19.1946,19.4984,19.432,19.2965,19.1473,19.3128,19.5445,19.5292,19.8947,26.7897,19.1288,17.8368,19.5672,20.4625,20.6024,20.8755,20.9951,21.3316,21.6236,21.9088,22.1232,22.1289,22.5384,22.7524,23.0254,23.3713,23.8963,25.2269,25.1202,24.7452,25.7074,25.8543,25.8246,26.1152,25.9559,26.3357,26.6651,26.864,27.2978
15,7.1,0,2.7,42,5815,380,238,15.3348,10.1609,292.6728,22.6562,13.4759,13.1302,13.5804,13.8112,13.6605,13.527,13.9252,13.9959,14.2934,14.7596,13.6727,14.1946,14.7379,14.1117,14.728,14.5887,15.0112,15.3227,15.0985,15.4661,15.4759,15.8126,15.9322,16.3072,16.211,16.4091,16.625,16.9695,16.8973,17.2845,17.4393,17.3877,17.7416,18.1128,18.0713,18.1711,18.235,18.4857,18.5202,18.5526,18.905,19.0524,19.144,19.1368,19.1486,19.3271,19.4091,19.6006,19.6028,19.7969,19.9285,20.125,20.2512,20.4944,20.4484,20.7614,21.417,20.1014,20.863,20.9969,21.1911,21.3056,21.3289,21.5388,21.6672,21.8895,23.3141,20.9524,21.3535,21.6393,21.7429,21.5951,21.3106,21.536,21.3639,21.3943,22.5387,21.4801,21.5242,21.5923,21.5046,20.8577,21.1901,21.1195,20.9739,20.8168,20.9754,21.2127,21.1916,21.5913,28.9722,20.4082,19.1974,21.1638,22.1366,22.2782,22.5457,22.6461,22.9849,23.2751,23.5696,23.7853,23.7763,24.2047,24.4099,24.6766,25.0391,25.571,26.9583,26.78,26.3591,27.3518,27.537,27.4747,27.7748,27.599,27.9745,28.3104,28.4869,28.945
16,7.3,0,2.2,28,5550,363,218,14.8421,10.2579,292.8171,25.3047,13.0786,12.7352,13.1758,13.4005,13.2507,13.1149,13.4971,13.5618,13.8497,14.3083,13.2188,13.7375,14.2399,13.6384,14.2106,14.1061,14.5134,14.8101,14.5832,14.9478,14.954,15.2837,15.4001,15.7736,15.6777,15.8737,16.0847,16.4241,16.3536,16.7374,16.8872,16.8326,17.1799,17.5425,17.5024,17.5915,17.6527,17.892,17.9228,17.945,18.2857,18.4302,18.5094,18.4991,18.5051,18.6716,18.7493,18.9298,18.9244,19.1077,19.2299,19.4182,19.5379,19.7698,19.7213,20.0195,20.6583,19.3716,20.1076,20.2372,20.4201,20.5283,20.5468,20.7468,20.868,21.0769,22.4563,20.1684,20.5376,20.8038,20.8926,20.7422,20.4518,20.6561,20.477,20.493,21.5902,20.5695,20.5797,20.6355,20.5376,19.9032,20.2089,20.1329,19.9843,19.8256,19.9791,20.2086,20.1852,20.558,27.6553,19.5567,18.3014,20.1515,21.0849,21.2247,21.4893,21.5945,21.9263,22.2085,22.4897,22.6956,22.6898,23.1047,23.31,23.574,23.9205,24.436,25.7773,25.6267,25.2241,26.1895,26.3527,26.3015,26.5874,26.416,26.7875,27.1147,27.295,27.7348
17,7.1,0,2.5,47,6173,492,271,18.2833,16.6944,293.1081,31.2129,12.3681,12.0296,12.4451,12.6588,12.5167,12.3887,12.7423,12.797,13.0762,13.5157,12.4506,12.9503,13.4219,12.8387,13.3638,13.2792,13.6536,13.9335,13.7095,14.0581,14.0631,14.3921,14.5173,14.8548,14.7572,14.9493,15.1543,15.4867,15.4189,15.7995,15.9376,15.8863,16.2235,16.5683,16.538,16.6168,16.6762,16.9016,16.9334,16.9495,17.2749,17.4227,17.485,17.4768,17.4827,17.6417,17.7127,17.8832,17.8725,18.0481,18.161,18.3388,18.4484,18.6647,18.611,18.889,19.5032,18.2649,18.9614,19.0839,19.2508,19.3508,19.365,19.5523,19.666,19.8629,21.1836,19.0163,19.3534,19.6033,19.6826,19.5359,19.2478,19.4289,19.2483,19.2524,20.289,19.3243,19.2957,19.3369,19.2278,18.6126,18.8798,18.7982,18.6455,18.4832,18.63,18.8457,18.8204,19.1628,25.8794,18.4232,17.1143,18.7982,19.6761,19.815,20.0773,20.1893,20.5139,20.7886,21.0583,21.2538,21.2567,21.6549,21.8619,22.1207,22.4485,22.952,24.2369,24.1272,23.7524,24.6838,24.8174,24.7861,25.0613,24.8969,25.2676,25.5811,25.766,26.1862
18,7.1,0,2.5,43,6744,758,336,34.8043,38.4565,293.533,43.5353,12.0695,11.7491,12.1685,12.4001,12.2671,12.1289,12.5071,12.5657,12.8615,13.3122,12.2612,12.7573,13.2808,12.6908,13.2365,13.1697,13.5492,13.8705,13.6884,14.0361,14.0652,14.3963,14.536,14.912,14.8295,15.0411,15.2597,15.6085,15.5563,15.948,16.0974,16.0532,16.404,16.7615,16.7413,16.8191,16.8885,17.1202,17.1597,17.1732,17.5051,17.6529,17.721,17.7102,17.7107,17.8792,17.9455,18.119,18.103,18.2857,18.3988,18.5791,18.6888,18.9107,18.8515,19.1319,19.7617,18.4872,19.2059,19.3286,19.498,19.6005,19.6124,19.802,19.9157,20.1133,21.4596,19.241,19.5862,19.8545,19.9412,19.7968,19.5072,19.6993,19.5171,19.5196,20.58,19.5876,19.5511,19.5968,19.4813,18.8574,19.1439,19.0672,18.9174,18.755,18.9092,19.1325,19.1071,19.4553,26.3065,18.5882,17.268,19.0446,19.9574,20.0967,20.362,20.4711,20.8033,21.0767,21.3458,21.5357,21.5297,21.9242,22.1291,22.3845,22.7095,23.2052,24.4932,24.3511,23.9582,24.9004,25.046,24.9952,25.2597,25.0777,25.4623,25.7837,25.9485,26.3589
19,6.8,0.5,3.4,31,7755,1110,419,37.0857,48.5429,294.032,48.4364,11.473,11.1603,11.5716,11.7848,11.6774,11.5759,11.9027,11.9898,12.2533,12.695,11.7145,12.1873,12.6711,12.135,12.648,12.6018,12.9877,13.301,13.113,13.4847,13.5192,13.8686,14.0199,14.3803,14.3095,14.5177,14.7352,15.0794,15.0291,15.4167,15.5619,15.5174,15.859,16.2076,16.1833,16.2634,16.3294,16.5496,16.5802,16.595,16.9068,17.0506,17.0969,17.0893,17.0847,17.2289,17.2941,17.4617,17.4389,17.606,17.7161,17.8841,17.9858,18.1869,18.1301,18.399,18.9912,17.7684,18.4505,18.5716,18.7255,18.8163,18.8274,19.0119,19.1171,19.2992,20.5883,18.4662,18.793,19.0498,19.1361,19.0088,18.7407,18.9246,18.7436,18.7424,19.7692,18.8207,18.767,18.8028,18.6879,18.0873,18.364,18.2863,18.1358,17.9766,18.1351,18.3547,18.3283,18.6469,25.2264,17.8417,16.5024,18.2299,19.1123,19.2471,19.5087,19.6215,19.9495,20.2098,20.4574,20.6283,20.618,20.9956,21.1971,21.4452,21.7491,22.2139,23.4386,23.2936,22.9166,23.8243,23.9584,23.8965,24.1392,23.9497,24.3392,24.6481,24.7989,25.1806
20,6.5,1.5,3.4,38,8056,1207,460,39.92,46.32,294.6637,47.5578,10.9288,10.6124,10.9982,11.2079,11.079,10.948,11.2679,11.3025,11.5764,12.0003,11.0056,11.4888,11.9244,11.3961,11.8689,11.8571,12.1937,12.4655,12.2834,12.6086,12.6244,12.9371,13.0656,13.409,13.3151,13.5076,13.7019,14.0209,13.9544,14.3229,14.4445,14.3883,14.7063,15.03,15.0056,15.06,15.119,15.3176,15.341,15.3383,15.6348,15.7721,15.8021,15.7871,15.7793,15.9093,15.9689,16.1197,16.0908,16.2471,16.3381,16.496,16.5867,16.7707,16.7088,16.9505,17.5195,16.3555,16.9882,17.0982,17.2379,17.3225,17.3265,17.495,17.5934,17.7625,18.9771,17.0089,17.2936,17.5311,17.6144,17.5014,17.2415,17.4089,17.2446,17.2461,18.2128,17.3441,17.264,17.2989,17.1856,16.6132,16.8477,16.7672,16.6187,16.4615,16.6042,16.8073,16.7782,17.0667,23.2246,16.5876,15.1942,16.7066,17.5226,17.6596,17.9134,18.0325,18.3438,18.5961,18.8345,19.0015,19.0027,19.3639,19.5654,19.814,20.1,20.5613,21.7292,21.6419,21.2941,22.1668,22.2629,22.2375,22.4717,22.3085,22.6757,22.97,23.139,23.5084
