Moisture,OM,Comp.1,Comp.2,Comp.3,Comp.4,Comp.5
double,double,double,double,double,double,double
out,out,in,in,in,in,in
0.144825101,2.5,1.72742653,-0.121613241,-0.145702019,0.244011532,-0.065708983
0.175400836,2.5,2.46442222,-0.086397536,0.18067001,-0.24958971,0.036944101
0.180550144,2.6,1.862560422,-0.162680983,0.011371252,-0.079338,0.003714453
0.1552672,2.6,1.878062703,-0.195733341,-0.118285598,0.156914257,-0.033248889
0.155221497,2.4,1.267661069,-0.235303029,0.030313681,-0.029324153,0.006327344
0.165302026,2.6,1.509841802,-0.125943099,-0.042450186,0.116158758,0.028335198
0.162239126,2.7,1.181238179,-0.041067187,-0.246031628,0.371991324,-0.03594002
0.173391129,2.7,1.401591687,-0.229874183,-0.277163032,0.402576055,-0.059993244
0.182455287,2.8,0.986610184,-0.116865859,-0.071995325,0.145396862,0.037719706
0.16417904,2.7,1.400223091,-0.183530799,-0.010635367,0.048877384,0.058194276
0.169371049,2.6,0.862537344,-0.126520684,0.087034291,-0.058686813,0.006631188
0.145026813,2.7,1.42178829,-0.167976199,-0.171940292,0.238903975,-0.044080681
0.160221236,3,0.567251942,-0.082275712,-0.061516511,0.178441725,0.021602117
0.179874716,3.1,0.179674387,-0.047217568,-0.112594477,0.226168061,-0.021310364
0.217610063,3.4,-0.437558979,0.051982677,0.023936948,0.236812062,0.031953661
0.165298376,3,-0.005669918,-0.136041055,-0.124590616,0.371407059,-0.033164696
0.161857977,2.6,0.858328047,-0.177876698,-0.154890489,0.266627125,0.011379751
0.159177606,2.5,1.157448634,-0.184161903,0.140999989,-0.087392147,-0.003035219
0.169370353,2.8,1.168589211,-0.250723769,0.019206169,0.056391404,0.04294116
0.199962353,2.9,0.08444723,-0.10199394,-0.110520102,0.245278069,-0.022784082
0.193600032,3.3,-0.312813309,0.04943583,0.054489422,0.235645032,0.024239533
0.177462963,3.5,-0.54861313,0.032466574,0.001138356,0.253316008,0.008441013
0.194631213,3.4,-0.384908602,0.006622723,0.067844996,0.111334795,0.075450914
0.201895095,3.3,-0.5301267,-0.102535188,0.077669045,0.236250617,0.013447172
0.20518427,3.2,-0.161396266,-0.059678705,0.159996239,-0.001878685,0.091074912
0.182481655,3.1,0.489484204,-0.223614114,0.067078842,0.075278893,-0.003264205
0.258461761,3.5,-0.574175908,0.338056802,0.156049398,0.004076361,-0.334982608
0.223302655,3.5,-0.30165638,0.877375227,0.054513165,-0.225884218,-0.152964725
0.258228256,3.6,-0.861328057,0.620966496,0.020961133,-0.243929891,-0.103093881
0.247878523,3.7,-0.512057269,0.352821575,-0.045277565,-0.266716293,-0.08817718
0.267333664,3.7,-0.87535738,0.361315298,0.017963085,-0.25339757,-0.110479838
0.276753615,3.7,-0.370966302,0.618821222,0.009707457,-0.216749142,-0.136677731
0.195322517,3.4,-0.719396125,0.621792617,-0.069680214,-0.259279722,-0.056958293
0.179436043,3.5,-1.098563649,0.448996253,-0.05059499,-0.220994529,-0.060497878
0.189700204,3.5,-1.104479839,0.239718347,-0.00189423,-0.306094412,-0.077884435
0.181936466,3.6,-1.518010032,-0.107986329,0.074671572,-0.341550294,0.018733431
0.159160779,3.5,-1.348673096,0.016391155,0.021954126,-0.346384452,0.147471572
0.18947692,3.6,-1.679275133,-0.369353116,0.053136114,-0.289443331,-0.207581188
0.170403276,3.5,-1.410927948,-0.433187759,0.017265511,-0.336344147,-0.018507048
0.126387353,3.3,-0.257242959,-0.571640673,-0.061054138,-0.445397763,-0.173747911
0.137853092,3.4,0.205319385,-0.514370746,-0.028192953,-0.460925648,-0.117312516
0.150565457,3.4,-1.051926271,-0.471376253,0.041778239,-0.409711481,-0.062444513
0.142343583,3.1,-1.258118455,-0.506654489,-0.27283326,-0.180741718,-0.1887142
0.128501394,3.3,0.529352056,-0.592804781,-0.350237205,-0.085883105,-0.070843911
0.138795095,3,0.021450271,-0.330483838,-0.029577097,-0.388836583,-0.168878239
0.203854003,2.8,0.405921626,-0.905094917,0.0598674,-0.608596842,0.142026034
0.176370046,2.5,-0.922146256,-1.253502468,-0.242858012,-0.250818105,0.230297853
0.186569891,2.7,-0.843564876,-1.215622483,-0.488635863,-0.024818538,0.243551316
0.209182517,3.1,0.579582222,-0.643624016,-0.653616509,0.513996753,-0.185527503
0.093498365,3.5,-0.016576493,1.073418882,-0.58373348,-0.072792228,-0.038823383
0.11333694,3.5,0.122789463,1.367922796,-0.514015741,-0.053127755,-0.041139621
0.155263693,3.6,-0.403838692,1.287383719,-0.493479833,-0.136630244,-0.033797433
0.150065149,3.7,-0.672433836,1.148445014,-0.423151388,-0.140748306,0.014385632
0.121102816,3.7,-0.753319464,0.749300885,-0.436309781,-0.048535036,0.027632088
0.128520664,3.7,-0.359569932,1.002086986,-0.433642407,-0.046733493,-0.02099634
0.127418868,3.7,-0.098110196,1.177292166,-0.458212968,-0.010233548,-0.022760907
0.110313667,3.5,1.105780191,1.676424794,-0.444162324,0.070252696,-0.114890465
0.157212744,3.4,-1.107300248,0.777084001,-0.45827439,-0.243239108,0.096382293
0.150872204,3.5,-0.922630503,0.9375727,-0.498627502,-0.194258053,0.062848598
0.143035784,3.5,-0.356568515,1.217277817,-0.459329067,-0.139877049,0.024259506
0.141836236,3.6,-0.04923923,1.309991088,-0.547129686,-0.114365556,-0.041224284
0.105804103,3.5,0.181492662,1.121760201,-0.559427604,-0.14355344,0.008707775
0.100236147,3.5,-0.261021864,1.130918464,-0.463788297,-0.231875377,-0.010880506
0.115406313,3.5,-0.463994148,0.950879136,-0.376396233,-0.191930603,0.01254404
0.129366138,3.4,-0.70903611,1.015584814,-0.337188184,-0.208198281,0.006512631
0.138649928,3.5,-0.5850974,1.102268749,-0.268261956,-0.258762134,-0.016679157
0.163338853,3.6,0.043144395,1.338571665,-0.299311021,-0.195819365,-0.047906752
0.147076601,3.5,0.409320658,1.351766486,-0.341272882,-0.154160839,-0.007348272
0.158281908,3.3,0.561251718,0.985214149,-0.329929384,-0.187769246,0.006249104
0.09802202,3.1,1.603586836,0.50176313,-0.435201517,-0.076048896,0.020522457
0.10910044,3.2,0.485183249,0.27666671,-0.255226047,-0.212756227,-0.028807226
0.119998589,3.4,0.372152168,0.489950327,-0.197095964,-0.118664552,-0.037452199
0.113452244,3.4,0.729007505,1.176003609,-0.109729142,-0.056614961,-0.09288066
0.112479529,3.1,0.171303147,0.559769239,-0.056851924,-0.563703705,-0.009018494
0.105781592,3.3,0.46520455,0.298267702,-0.189126281,-0.489310181,0.395490045
0.104616945,3,-0.017361685,0.247775777,-0.240086781,-0.414168544,0.079287305
0.127181994,2.8,0.584166042,0.42230158,-0.317885255,-0.446158103,0.046697982
