81mclvdc											
12											
x											
y											
wv											
wd											
wc											
wvm											
wdm											
cv											
cd											
cc											
cvm											
cdm											
100	122.222	1.25412	0.7018	1182.27042	1.227852657	0.687100911	1.27463	0.72971	1263.13149	1.257325081	0.719803147
122.222	122.222	1.34031	0.847	1165.7074	1.293853628	0.817642204	1.32625	1.4464	1544.19633	1.599347344	1.744238265
144.444	122.222	1.39678	0.74779	1238.97777	1.433117697	0.767244006	1.32283	1.07378	1635.87269	1.689928843	1.371764923
166.667	122.222	1.39338	0.38442	1251.94892	1.44459637	0.398550099	1.38808	0.27545	1228.45948	1.331650369	0.264252128
188.889	122.222	1.16268	0.64391	1789.30392	1.722799163	0.954112575	1.1145	0.72709	2157.30778	1.877617236	1.224940974
11.111	144.444	1.12934	0.44758	1308.89717	1.224110367	0.485139389	1.07961	0.40945	1360.9274	1.147404998	0.43516175
33.333	144.444	1.2392	0.72983	1556.25675	1.597029688	0.940574707	1.34693	0.45262	1311.2471	1.37925462	0.463482309
55.556	144.444	1.19792	0.61668	1502.88412	1.490883293	0.767495249	1.32536	0.47011	1136.0007	1.175783439	0.417054651
77.778	144.444	1.1886	0.7135	1011.51368	0.995629654	0.597662593	1.28341	0.33014	881.02879	0.883019715	0.227144972
100	144.444	1.16232	0.94463	1209.67705	1.164355204	0.946284033	1.14271	0.84577	1784.26591	1.592247174	1.178492261
122.222	144.444	1.31261	0.30292	854.55272	0.928891323	0.214366613	1.33759	0.18449	928.78396	0.970180632	0.133814267
144.444	144.444	1.21361	0.32824	1073.55782	1.078934109	0.291814777	1.18534	0.32398	1203.75801	1.114286864	0.304559585
166.667	144.444	1.38516	0.28813	901.04932	1.033567493	0.214994514	1.36633	0.34111	1139.02821	1.215360074	0.303419726
188.889	144.444	1.2366	0.60983	1605.28423	1.643885324	0.810682991	1.25495	0.54736	1866.19997	1.828940099	0.797711982
11.111	166.667	1.07675	0.92006	1420.88679	1.266965222	1.082594866	1.06964	1.04794	1918.47682	1.602540715	1.570029652
33.333	166.667	1.21007	1.22883	1546.64389	1.549855329	1.573883101	1.30115	1.14972	1750.9252	1.779138837	1.572079702
55.556	166.667	1.10249	0.28332	923.68549	0.843313625	0.216716357	1.12957	0.1633	785.53021	0.692932486	0.100176062
77.778	166.667	1.22404	0.73026	1108.51881	1.123644716	0.670364359	1.18367	0.24611	754.74615	0.697664183	0.145059123
100	166.667	1.37563	1.67535	1704.70264	1.94196147	2.365072838	1.26422	1.84326	1886.80277	1.86279062	2.715988862
122.222	166.667	1.32075	0.66927	1465.60468	1.602978876	0.812285196	1.3288	0.3919	1316.59842	1.366242622	0.402942868
144.444	166.667	1.27693	0.63784	1387.8676	1.467592434	0.733077896	1.27487	0.55187	1488.32554	1.481762899	0.641430492
166.667	166.667	1.46094	0.2474	911.16294	1.102348115	0.186674965	1.4975	0.17398	870.05672	1.017487957	0.118212057
188.889	166.667	1.32438	0.78381	1549.23447	1.699104545	1.005583846	1.38793	0.3583	1241.44521	1.34558148	0.34736755
11.111	188.889	1.22651	0.65716	942.99755	0.957793741	0.513182717	1.24329	0.70093	967.08923	0.938974651	0.529366039
33.333	188.889	1.1564	1.08207	1191.37468	1.140897913	1.067564341	1.1392	0.55766	1394.38471	1.240502	0.60724925
55.556	188.889	1.15985	0.55362	878.3616	0.843656204	0.402694269	1.216	0.48179	1037.29432	0.985032263	0.390278531
77.778	188.889	1.37852	0.48787	895.98573	1.022832457	0.361989141	1.30915	0.47214	1034.07363	1.057196591	0.381273955
100	188.889	1.34638	1.14183	1982.57405	2.210484153	1.874654348	1.2627	1.23404	2376.65285	2.34358555	2.290392264
122.222	188.889	1.39482	0.99548	1665.01952	1.923214975	1.372594345	1.41346	0.82498	1642.95197	1.813523848	1.058481247
144.444	188.889	1.44137	0.63311	1187.75757	1.417730303	0.622726456	1.46261	0.57996	964.74842	1.101938851	0.436945225
166.667	188.889	1.48494	0.33886	1062.60548	1.306686168	0.298182873	1.54524	0.2093	1081.58685	1.305185442	0.176785039
188.889	188.889	1.02061	0.28874	951.40098	0.804106829	0.227489252	0.9959	0.17402	807.75434	0.628217331	0.109772447
