81mnvdc											
12											
x											
y											
wv											
wd											
wc											
wvm											
wdm											
cv											
cd											
cc											
cvm											
cdm											
144.444	122.222	1.3588	0.84163	125.28445	1.567050285	0.970618584	1.32891	0.64596	99.57534	1.333455801	0.648169634
166.667	122.222	1.26016	0.61109	146.43594	1.698648787	0.82372658	1.24569	0.80861	180.59437	2.266968276	1.471548473
188.889	122.222	1.1106	0.17076	98.63801	1.008398509	0.155046038	1.05434	0.08243	80.63421	0.85670495	0.066978573
11.111	144.444	1.07307	0.36865	127.74971	1.261880416	0.433515256	1.06437	0.26126	88.31286	0.947213398	0.232502769
33.333	144.444	1.13886	0.76151	122.02607	1.279243409	0.855378754	1.44234	0.75678	69.51405	1.010349189	0.530119153
55.556	144.444	1.13033	0.38413	131.5854	1.36912526	0.465281897	1.20339	0.96706	163.31187	1.980411353	1.591484559
77.778	144.444	1.18306	0.90588	124.1713	1.352253838	1.035433289	1.25224	1.03372	153.21123	1.933345308	1.595970191
100	144.444	1.12599	0.57079	104.20875	1.08011238	0.547533589	1.0397	0.46734	104.94506	1.099515362	0.494226709
122.222	144.444	1.35306	0.39947	114.21576	1.42256891	0.419991429	1.44276	0.21719	101.88771	1.481314083	0.222993849
144.444	144.444	1.25184	0.21679	91.50251	1.054416166	0.182600716	1.22073	0.119	63.43695	0.780356711	0.076071243
166.667	144.444	1.38219	0.69398	125.8403	1.601097264	0.80389055	1.56072	0.28937	70.33154	1.106130532	0.205085468
188.889	144.444	1.20505	0.23886	91.49726	1.014947036	0.201178581	1.21345	0.10718	67.95226	0.83091586	0.073392033
11.111	166.667	1.09041	0.72036	115.42322	1.158545875	0.765372756	1.0398	1.22235	103.31992	1.082592793	1.272655608
33.333	166.667	1.1124	0.33207	93.28779	0.955247718	0.285157416	1.10297	0.20894	91.94583	1.021943757	0.193590876
55.556	166.667	1.15462	0.27021	114.24298	1.214224028	0.284158836	1.19505	0.31758	120.15729	1.446996426	0.384533806
77.778	166.667	1.25417	0.42668	108.54111	1.253086037	0.426311226	1.25187	0.45702	107.39406	1.354786157	0.494591587
100	166.667	1.21902	0.4521	110.84413	1.243809169	0.461293601	1.11063	0.21076	81.16583	0.908393236	0.172382304
122.222	166.667	1.25094	0.3152	106.82832	1.230135926	0.309957987	1.26665	0.47189	121.44575	1.550137441	0.577503144
144.444	166.667	1.24984	0.37201	103.35515	1.189095581	0.353929661	1.27628	0.16125	77.91052	1.002012926	0.12659807
166.667	166.667	1.50731	0.42468	114.61619	1.59029895	0.448061884	1.56175	0.39	125.50623	1.975186262	0.493243248
188.889	166.667	1.2831	0.65674	111.57002	1.317765823	0.674483304	1.39268	0.51846	132.71059	1.862465241	0.693349318
11.111	188.889	1.24945	0.55584	142.66924	1.640889942	0.729979003	1.28556	0.73975	141.11786	1.828123748	1.051957546
33.333	188.889	1.28043	0.37843	84.95259	1.001296479	0.295932325	1.25096	0.08649	59.96364	0.755897082	0.052261894
55.556	188.889	1.33651	0.52385	97.16465	1.195393052	0.468538694	1.38527	0.27617	84.41657	1.178401776	0.234928367
77.778	188.889	1.40735	0.50686	110.24751	1.428239799	0.514383504	1.39138	0.38548	99.83968	1.399845786	0.387825435
100	188.889	1.15421	0.40308	125.42898	1.332640314	0.465392483	1.07751	0.16249	90.17389	0.979114251	0.147651785
122.222	188.889	1.29762	0.54348	118.9058	1.420302311	0.594862826	1.43036	0.59242	112.3107	1.618816969	0.67047425
144.444	188.889	1.38127	0.51756	115.36482	1.466838148	0.549622269	1.46896	0.47265	118.14005	1.748792886	0.56268854
166.667	188.889	1.47921	0.53384	115.07492	1.566898049	0.565486208	1.60875	0.31623	127.7152	2.070438835	0.406983604
188.889	188.889	1.15379	0.18066	67.58732	0.717831018	0.112397708	1.21242	0.04787	47.48302	0.580126471	0.022905144
