HYDCOND  OBS				
5				
ID				
X				
Y				
HYDCOND				
HYDCOND RES				
-111	15300	27880	111	-0.694958887
-112	13440	28270	112	-0.262307176
-113	10300	29720	113	0.491630724
-114	12000	29750	114	-0.783252549
-115	13680	29760	115	0.022861884
-116	50	50	116	0
-117	50	1300	117	0
-118	50	2550	118	0
-119	50	3800	119	0
-120	50	5050	120	0
-121	50	6300	121	0
-122	50	7550	122	0
-123	50	8800	123	0
-124	50	10050	124	0
-125	50	11300	125	0
-126	50	12550	126	0
-127	50	13800	127	0
-128	50	15050	128	0
-129	50	16300	129	0
-130	50	17550	130	0
-131	50	18800	131	0
-132	50	20050	132	0
-133	50	21300	133	0
-134	50	22550	134	0
-135	50	23800	135	0
-136	50	25050	136	0
-137	50	26300	137	0
-138	50	27550	138	0
-139	50	28800	139	0
-140	50	30050	140	0
-141	1300	50	141	0
-142	1300	1300	142	0
-143	1300	2550	143	0
-144	1300	3800	144	0
-145	1300	5050	145	0
-146	1300	6300	146	0
-147	1300	7550	147	0
-148	1300	8800	148	0
-149	1300	10050	149	0
-150	1300	11300	150	0
-151	1300	12550	151	0
-152	1300	13800	152	0
-153	1300	15050	153	0
-154	1300	16300	154	0
-155	1300	17550	155	0
-156	1300	18800	156	0
-157	1300	20050	157	0
-158	1300	21300	158	0
-159	1300	22550	159	0
-160	1300	23800	160	0
-161	1300	25050	161	0
-162	1300	26300	162	0
-163	1300	27550	163	0
-164	1300	28800	164	0
-165	1300	30050	165	0
-166	2550	50	166	0
-167	2550	1300	167	0
-168	2550	2550	168	0
-169	2550	3800	169	0
-170	2550	5050	170	0
-171	2550	6300	171	0
-172	2550	7550	172	0
-173	2550	8800	173	0
-174	2550	10050	174	0
-175	2550	11300	175	0
-176	2550	12550	176	0
-177	2550	13800	177	0
-178	2550	15050	178	0
-179	2550	16300	179	0
-180	2550	17550	180	0
-181	2550	18800	181	0
-182	2550	20050	182	0
-183	2550	21300	183	0
-184	2550	22550	184	0
-185	2550	23800	185	0
-186	2550	25050	186	0
-187	2550	26300	187	0
-188	2550	27550	188	0
-189	2550	28800	189	0
-190	2550	30050	190	0
-191	3800	50	191	0
-192	3800	1300	192	0
-193	3800	2550	193	0
-194	3800	3800	194	0
-195	3800	5050	195	0
-196	3800	6300	196	0
-197	3800	7550	197	0
-198	3800	8800	198	0
-199	3800	10050	199	0
-200	3800	11300	200	0
