1,2314,14662,921.06,-2.9,0.215976988
2,4685,17528,932.7,-3.5,-0.013776615
3,6424,8148,913.86,-2.8,0.397944886
4,8894,18508,934.2,-4.4,-0.01524374
5,10564,16666,937.22,-5.7,0.73158886
6,10641,13854,920.24,-6.5,-0.269343758
7,10680,11983,915.55,-6.1,0.052211851
8,10861,16927,935.64,-4.5,0.015404188
9,10905,14236,920.02,-6.6,-0.32261093
10,10944,17747,935.17,-4.1,0.421802134
11,10961,15149,926.62,-6.2,0.135944192
12,11723,15184,927.19,-6,0.412951363
13,11968,13853,917.22,-5.9,0.471781966
14,11983,18794,940.03,-4,0.694917592
15,11996,15458,921.59,-6.3,0.152498092
16,12010,17024,935.3,-7,-0.396269283
17,12021,23201,936.88,-6.7,-0.351306277
18,12001,14406,917.16,-4.7,-0.221314463
19,12035,16679,936.08,-6.5,0.068402924
20,12039,16153,930.96,-6.4,0.105489781
21,12039,16282,932.66,-6.2,0.325981755
22,12043,15819,927,-6.6,-0.111478687
23,12076,17473,938.82,-4.7,-0.027289774
24,12226,10966,915.2,-6,0.247624709
25,12289,1761,911.57,-4,-0.227630764
26,12814,14216,917.13,-5.2,-0.62242446
27,12986,17018,935.89,-6.8,-0.151390932
28,13028,14266,917.49,-4.9,-0.288951145
29,13503,13833,916.55,-4.9,-0.210043134
30,13601,12631,915.47,-4.3,0.253142801
31,13615,15359,919.87,-6.8,-0.126309126
32,14018,11013,915.37,-6.6,-0.143097525
33,15172,18301,936.26,-6.7,0.02946428
34,15323,8952,914.66,-6.7,-0.076472738
35,19426,22881,933.19,-6.8,-0.110777878
