48	78016.3
77	96595.47
52	342185.4
38	351113.3
31	370573.7
82	377926.3
93	391877.2
53	434380.3
18	449148.2
89	454888.8
76	504254.4
79	548023.8
62	570690.6
43	594992.1
46	723910.3
33	732587.6
56	772943.9
83	808052.4
80	842070.9
85	858988.8
10	930824.6
60	955369.4
99	957232.4
35	970047.3
36	991283.4
12	999975.9
78	1002447
17	1064073
97	1110039
86	1123707
29	1136672
51	1140401
81	1148973
47	1152577
87	1186178
49	1189274
100	1200787
94	1208856
96	1211953
39	1234528
41	1236898
55	1256905
72	1272260
8	1286009
69	1286337
24	1288500
75	1324749
21	1352426
88	1361509
19	1394171
54	1398056
84	1398219
34	1398268
37	1424907
42	1461819
71	1466196
44	1498126
7	1501486
74	1553410
73	1572016
50	1574683
26	1583029
28	1589139
23	1647788
4	1657395
59	1692887
22	1707199
57	1780345
40	1782803
64	1791999
16	1792953
67	1837656
13	1926090
20	1939294
25	1966043
61	1996542
11	2013477
95	2036588
98	2141791
65	2147507
6	2187550
30	2190077
5	2222639
27	2226107
15	2240476
63	2337094
58	2352562
92	2391571
68	2494564
90	2633274
91	2728311
66	2755878
45	2790144
32	2846812
9	3476224
70	3505174
3	3541790
1	4448956
14	5292624
2	6570295
