Williams Field, all data after filtering
11
X
Y
ph1
ph2
CEC
OM
P(experimental data)
K
Ca
Mg
Sam. Set
133.43	1547.84	6.3	7.0	15.2	3.4	38.0	288.0	4158.0	564.0	1.0
134.70	1549.28	6.6	7.0	13.1	3.0	37.0	372.0	3762.0	524.0	1.0
134.70	1546.62	6.5	7.0	14.6	3.5	40.0	336.0	4158.0	554.0	1.0
134.96	1146.87	6.2	6.9	13.7	3.2	37.0	280.0	3663.0	475.0	1.0
136.48	1544.73	6.9	7.0	14.7	3.2	47.0	396.0	4554.0	613.0	1.0
137.68	523.13	6.7	7.0	15.3	3.2	25.0	308.0	4653.0	574.0	1.0
137.69	318.48	5.5	6.2	16.2	3.4	37.0	244.0	3267.0	683.0	1.0
139.87	1555.40	6.7	7.0	15.7	3.2	40.0	348.0	4653.0	653.0	1.0
141.40	1127.64	6.2	7.0	13.3	2.8	54.0	320.0	3564.0	435.0	1.0
145.63	1537.17	6.7	7.0	15.7	3.0	80.0	300.0	4653.0	653.0	1.0
211.88	41.46	6.1	6.7	21.3	3.6	54.0	288.0	5445.0	831.0	1.0
213.64	749.80	6.4	7.0	15.2	3.2	76.0	504.0	4158.0	554.0	1.0
213.64	548.70	6.6	7.0	14.7	3.4	22.0	224.0	4455.0	504.0	1.0
220.09	530.14	6.3	7.0	15.1	3.2	40.0	324.0	4059.0	574.0	1.0
220.36	22.23	6.0	6.6	16.8	3.5	53.0	368.0	4158.0	623.0	1.0
220.68	731.45	6.6	7.0	14.9	3.2	57.0	404.0	4257.0	613.0	1.0
222.79	741.57	6.7	7.0	18.3	3.2	70.0	524.0	5148.0	871.0	1.0
222.80	540.14	6.5	7.0	16.7	2.6	39.0	336.0	4851.0	594.0	1.0
222.82	31.35	6.2	6.8	16.8	3.6	87.0	384.0	4356.0	653.0	1.0
223.41	30.46	6.3	7.0	17.4	3.4	66.0	336.0	4752.0	643.0	1.0
224.57	737.57	6.4	7.0	15.4	3.0	50.0	376.0	4158.0	633.0	1.0
224.58	535.03	6.9	7.0	16.3	3.0	34.0	344.0	5148.0	643.0	1.0
224.60	28.57	6.4	7.0	16.3	3.2	68.0	400.0	4455.0	643.0	1.0
224.60	26.46	6.3	6.9	16.6	3.5	46.0	328.0	4554.0	603.0	1.0
225.26	537.14	6.7	7.0	13.6	3.2	49.0	360.0	4059.0	514.0	1.0
225.85	739.12	6.4	7.0	15.7	3.4	33.0	304.0	4158.0	722.0	1.0
226.45	535.03	6.7	7.0	14.5	3.0	30.0	280.0	4356.0	574.0	1.0
226.72	29.57	6.2	6.8	16.4	3.5	87.0	372.0	4356.0	584.0	1.0
227.04	538.36	6.5	7.0	15.2	2.8	54.0	396.0	4356.0	544.0	1.0
227.37	737.90	6.4	7.0	17.8	3.4	49.0	496.0	4752.0	762.0	1.0
228.56	739.12	6.4	7.0	17.1	3.2	57.0	304.0	4554.0	792.0	1.0
228.57	534.03	6.3	7.0	16.0	2.6	23.0	316.0	4257.0	643.0	1.0
228.58	26.46	6.5	7.0	15.9	3.2	47.0	312.0	4554.0	613.0	1.0
229.75	734.79	6.6	7.0	15.6	3.0	34.0	328.0	4455.0	673.0	1.0
231.63	35.91	6.1	6.8	16.8	3.2	59.0	420.0	4158.0	673.0	1.0
232.21	543.26	6.0	6.7	14.6	3.4	22.0	268.0	3762.0	465.0	1.0
232.80	743.68	6.3	7.0	17.8	3.4	59.0	288.0	4653.0	792.0	1.0
238.59	17.01	6.1	6.8	16.2	3.4	50.0	344.0	4059.0	653.0	1.0
239.50	725.34	6.7	7.0	14.9	3.0	43.0	288.0	4554.0	534.0	1.0
240.10	523.69	6.8	7.0	17.7	3.6	28.0	308.0	5544.0	653.0	1.0
315.87	953.11	6.1	6.9	12.3	3.0	39.0	512.0	3069.0	415.0	1.0
321.62	1357.75	6.3	7.0	17.6	3.2	57.0	300.0	4851.0	623.0	1.0
324.94	934.55	5.9	6.7	13.4	3.0	43.0	360.0	3267.0	445.0	1.0
326.81	943.11	5.7	6.5	13.7	2.6	32.0	408.0	3069.0	465.0	1.0
326.81	942.78	5.6	6.4	14.5	2.6	47.0	380.0	3168.0	495.0	1.0
327.99	940.89	5.9	6.8	13.8	2.5	51.0	344.0	3267.0	514.0	1.0
329.86	942.44	5.9	6.7	14.7	2.7	70.0	444.0	3465.0	544.0	1.0
330.44	1340.63	6.4	7.0	14.6	3.2	28.0	272.0	4059.0	554.0	1.0
331.98	943.11	6.0	6.9	14.7	2.5	56.0	392.0	3564.0	564.0	1.0
332.22	1349.75	6.5	7.0	15.0	3.2	41.0	348.0	4257.0	574.0	1.0
333.76	938.22	6.0	6.8	14.9	2.8	38.0	388.0	3663.0	554.0	1.0
334.33	1345.19	6.5	7.0	16.8	3.2	25.0	280.0	4752.0	693.0	1.0
335.61	1347.08	6.2	7.0	14.8	2.8	32.0	280.0	3861.0	574.0	1.0
335.88	947.89	6.2	7.0	12.4	2.8	27.0	348.0	3168.0	485.0	1.0
336.79	1345.52	6.4	7.0	15.6	3.0	25.0	292.0	4356.0	603.0	1.0
337.39	1348.52	6.6	7.0	15.4	3.0	31.0	300.0	4554.0	574.0	1.0
338.91	1343.41	6.6	7.0	15.5	3.4	27.0	248.0	4554.0	623.0	1.0
341.96	1353.75	6.1	6.9	15.0	2.8	32.0	340.0	3861.0	534.0	1.0
344.10	930.55	6.5	7.0	15.5	3.2	30.0	356.0	4455.0	574.0	1.0
348.32	1334.52	6.5	7.0	16.8	3.6	40.0	244.0	4851.0	633.0	1.0
409.88	1153.99	6.2	7.0	13.9	2.8	36.0	632.0	3564.0	465.0	1.0
409.89	953.23	6.1	6.8	13.7	3.4	40.0	460.0	3366.0	544.0	1.0
410.76	439.10	6.8	7.0	16.2	3.0	33.0	360.0	4851.0	702.0	1.0
411.43	646.19	7.0	7.0	17.2	2.8	38.0	276.0	5445.0	782.0	1.0
416.61	421.64	6.2	6.9	13.5	3.2	29.0	328.0	3366.0	594.0	1.0
416.83	1134.42	5.9	6.7	13.3	3.0	38.0	400.0	3267.0	415.0	1.0
417.79	626.41	6.8	7.0	16.0	3.2	35.0	252.0	4950.0	633.0	1.0
418.36	934.88	6.4	7.0	14.2	3.5	50.0	412.0	3960.0	504.0	1.0
419.54	1144.54	5.8	6.6	14.2	2.8	20.0	328.0	3267.0	524.0	1.0
419.58	430.87	6.1	6.8	13.1	3.2	28.0	448.0	3168.0	544.0	1.0
420.82	944.33	5.9	6.7	15.7	3.0	33.0	416.0	3861.0	495.0	1.0
421.43	637.08	7.0	7.0	14.5	3.2	51.0	276.0	4752.0	554.0	1.0
422.04	428.09	6.2	6.9	13.9	3.4	28.0	500.0	3564.0	504.0	1.0
422.04	425.64	6.4	7.0	12.9	3.0	45.0	396.0	3465.0	524.0	1.0
422.37	632.85	7.4	7.0	16.4	3.0	50.0	276.0	5346.0	633.0	1.0
422.59	1141.42	5.9	6.7	12.6	2.8	39.0	436.0	2970.0	445.0	1.0
422.59	1138.98	6.1	6.8	14.6	3.2	31.0	388.0	3762.0	495.0	1.0
422.60	939.44	6.3	7.0	13.9	2.8	50.0	412.0	3663.0	544.0	1.0
423.52	1138.98	6.1	6.9	12.3	2.7	41.0	464.0	3069.0	435.0	1.0
423.55	634.96	7.0	7.0	15.6	3.2	57.0	348.0	5049.0	603.0	1.0
423.56	425.64	5.9	6.7	13.5	3.0	34.0	372.0	3168.0	514.0	1.0
424.13	941.89	5.8	6.6	14.9	2.7	38.0	392.0	3465.0	524.0	1.0
424.74	633.41	6.9	7.0	14.6	3.0	42.0	380.0	4554.0	584.0	1.0
424.75	428.65	5.9	6.7	15.4	3.0	30.0	364.0	3663.0	584.0	1.0
425.30	1142.31	5.9	6.7	13.5	3.0	57.0	392.0	3267.0	455.0	1.0
425.30	1138.42	6.3	7.0	13.2	3.0	32.0	360.0	3564.0	485.0	1.0
425.32	940.66	5.9	6.7	16.3	2.9	39.0	356.0	3960.0	574.0	1.0
425.99	942.22	5.9	6.7	15.9	2.8	50.0	468.0	3762.0	574.0	1.0
426.01	635.85	6.8	7.0	15.3	3.2	45.0	372.0	4653.0	623.0	1.0
426.02	424.42	6.1	6.8	13.6	3.4	50.0	400.0	3366.0	524.0	1.0
427.18	938.22	6.1	6.8	17.0	3.2	37.0	364.0	4356.0	613.0	1.0
427.20	630.63	7.3	7.0	15.1	2.8	32.0	284.0	4851.0	623.0	1.0
428.95	1147.87	6.5	7.0	12.5	3.0	37.0	688.0	3366.0	465.0	1.0
429.33	433.31	6.0	6.6	14.7	3.5	54.0	364.0	3564.0	574.0	1.0
429.89	947.67	6.4	7.0	16.3	3.2	27.0	328.0	4455.0	673.0	1.0
429.91	639.86	7.2	7.0	16.6	3.4	45.0	276.0	5445.0	623.0	1.0
434.12	1128.64	6.1	6.9	12.5	2.6	38.0	320.0	3267.0	405.0	1.0
434.25	414.64	5.8	6.5	16.3	3.4	32.0	312.0	3861.0	554.0	1.0
435.68	620.96	6.5	7.0	16.9	2.6	28.0	292.0	4653.0	772.0	1.0
436.25	929.44	6.3	7.0	14.1	3.2	23.0	320.0	3663.0	623.0	1.0
508.91	852.18	6.5	7.0	15.2	3.0	23.0	428.0	4059.0	722.0	1.0
512.34	1462.91	6.2	7.0	18.0	2.8	31.0	268.0	4752.0	693.0	1.0
515.02	832.61	5.9	6.7	13.7	2.8	50.0	272.0	3168.0	584.0	1.0
515.99	242.00	5.7	6.5	15.0	3.0	87.0	392.0	3366.0	524.0	1.0
516.88	841.51	6.1	6.9	14.8	3.0	54.0	388.0	3564.0	653.0	1.0
518.11	1444.01	6.5	7.0	15.2	3.2	21.0	232.0	4455.0	544.0	1.0
519.25	837.28	6.0	6.8	15.9	3.0	40.0	384.0	3762.0	673.0	1.0
520.53	838.50	5.8	6.6	15.4	2.8	30.0	284.0	3465.0	643.0	1.0
521.16	223.77	6.2	6.9	17.3	3.2	82.0	368.0	4356.0	752.0	1.0
521.37	838.50	5.6	6.4	16.3	2.8	47.0	332.0	3465.0	633.0	1.0
522.01	1452.90	6.9	7.0	15.6	3.4	29.0	232.0	5049.0	564.0	1.0
522.05	841.17	5.7	6.4	16.8	3.2	45.0	284.0	3762.0	643.0	1.0
523.28	1448.01	6.3	7.0	14.8	3.2	22.0	228.0	4158.0	495.0	1.0
523.87	1450.79	6.8	7.0	14.6	3.0	25.0	320.0	4554.0	544.0	1.0
524.43	836.95	6.1	6.9	17.6	2.8	41.0	288.0	4356.0	772.0	1.0
524.81	234.11	6.3	7.0	18.0	3.0	107.0	476.0	4752.0	712.0	1.0
525.65	1449.24	6.6	7.0	15.3	3.4	25.0	292.0	4554.0	564.0	1.0
526.29	845.84	6.1	6.8	15.2	3.2	59.0	276.0	3960.0	534.0	1.0
526.59	1451.01	6.8	7.0	15.1	3.2	25.0	236.0	4752.0	544.0	1.0
526.59	1446.46	6.6	7.0	15.9	3.0	18.0	248.0	4752.0	594.0	1.0
526.93	229.89	5.4	6.2	15.8	2.8	107.0	356.0	3267.0	504.0	1.0
526.93	227.44	6.1	6.9	16.4	3.0	100.0	472.0	3960.0	702.0	1.0
528.79	228.00	5.9	6.6	14.9	3.2	107.0	392.0	3465.0	584.0	1.0
529.39	230.11	5.8	6.6	18.3	2.8	132.0	508.0	4158.0	683.0	1.0
530.23	1456.57	6.6	7.0	14.6	3.2	25.0	236.0	4257.0	594.0	1.0
531.17	226.22	6.2	6.9	15.7	3.4	85.0	432.0	3960.0	663.0	1.0
533.96	236.22	6.1	6.8	18.1	3.2	87.0	408.0	4554.0	702.0	1.0
534.77	828.06	6.2	6.9	14.6	3.4	70.0	332.0	3861.0	534.0	1.0
535.40	1436.67	6.2	7.0	13.8	2.4	31.0	264.0	3663.0	495.0	1.0
539.73	216.77	6.2	6.9	17.8	3.4	115.0	480.0	4653.0	653.0	1.0
610.16	1563.07	6.9	7.0	16.5	3.4	64.0	264.0	5247.0	653.0	1.0
612.01	643.75	6.9	7.0	18.3	3.2	35.0	280.0	5742.0	782.0	1.0
612.29	1460.46	6.2	6.9	16.2	3.2	53.0	332.0	4455.0	495.0	1.0
615.93	1543.17	6.5	7.0	15.3	3.6	43.0	276.0	4455.0	554.0	1.0
618.12	625.18	6.7	7.0	16.1	3.4	28.0	316.0	4851.0	633.0	1.0
618.65	1443.12	6.7	7.0	15.9	2.8	28.0	296.0	4653.0	693.0	1.0
619.91	1552.40	6.6	7.0	14.9	3.4	46.0	260.0	4356.0	594.0	1.0
620.50	1548.73	6.7	7.0	13.6	3.6	43.0	248.0	4158.0	504.0	1.0
621.09	634.08	6.2	6.9	18.1	3.2	35.0	316.0	4554.0	831.0	1.0
