  0.3930   0.8289   0.0743   0.9423   0.1241   0.3930  14.4261   0.8289
  0.2981   0.7283   0.5992   0.6315   0.8543   0.2981  23.2426   0.7283
  0.5494   0.5249   0.2102   0.4457   0.9687   0.5494  20.5489   0.5249
  0.4643   0.8504   0.4096   0.1251   0.8280   0.4643  16.5481   0.8504
  0.6227   0.0147   0.3969   0.3803   0.8201   0.6227  19.9868   0.0147
  0.0000   0.9355   0.6061   0.9912   0.1720   0.0000  20.4539   0.9355
  0.0938   0.3109   0.7605   0.8025   0.9804   0.0938  28.3488   0.3109
  0.4536   0.1662   0.7977   0.4721   0.9902   0.4536  25.9651   0.1662
  0.2874   0.0244   0.9296   0.8524   0.9062   0.2874  29.7556   0.0244
  0.4399   0.0196   0.1544   0.9756   0.7302   0.4399  22.6501   0.0196
  0.4223   0.1153   0.7546   0.8319   0.4761   0.4223  24.2373   0.1153
  0.4311   0.8289   0.9961   0.6373   0.1848   0.4311  20.6187   0.8289
  0.5396   0.4985   0.5376   0.2033   0.0577   0.5396  13.1505   0.4985
  0.2483   0.1769   0.3529   0.3294   0.8700   0.2483  19.1910   0.1769
  0.5904   0.5894   0.8152   0.5611   0.2805   0.5904  20.5130   0.5894
  0.7507   0.9022   0.3470   0.6012   0.8426   0.7507  19.2113   0.9022
  0.9775   0.6618   0.5494   0.0714   0.4712   0.9775  14.0126   0.6618
  0.1095   0.8788   0.7273   0.3851   0.1857   0.1095  15.8017   0.8788
  0.1476   0.2805   0.8475   0.7918   0.2366   0.1476  22.1754   0.2805
  0.9677   0.5543   0.4653   0.3001   0.8465   0.9677  19.1790   0.5543
  0.5650   0.2522   0.2307   0.1505   0.0078   0.5650   8.9719   0.2522
  0.0352   0.0098   0.0811   0.0039   0.2903   0.0352   9.3210   0.0098
  0.0010   0.9941   0.0411   0.6559   0.7126   0.0010  17.6362   0.9941
  0.1251   0.6657   0.9159   0.2815   0.4213   0.1251  19.6686   0.6657
  0.8475   0.9775   0.0352   0.1750   0.2278   0.8475   7.0708   0.9775
  0.8280   0.3793   0.7370   0.5191   0.0147   0.8280  15.5620   0.3793
  0.0342   0.7849   0.3148   0.2952   0.3353   0.0342  12.9726   0.7849
  0.0420   0.1173   0.0469   0.1808   0.0850   0.0420   8.5349   0.1173
  0.0196   0.4223   0.0645   0.9697   0.2757   0.0196  17.6574   0.4223
  0.5024   0.2639   0.0117   0.0020   0.4448   0.5024   9.7014   0.2639
  0.2669   0.1193   0.0274   0.0000   0.1965   0.2669   7.3645   0.1193
  0.8436   0.0039   0.6432   0.2688   0.3939   0.8436  16.0664   0.0039
  0.0196   0.1036   0.0127   0.1476   0.1202   0.0196   8.3123   0.1036
  0.0723   0.7683   0.2385   0.3275   0.1750   0.0723  11.1538   0.7683
  0.0039   0.0645   0.0362   0.1848   0.0811   0.0039   8.6130   0.0645
  0.6403   0.0293   0.0577   0.0020   0.0020   0.6403   6.0343   0.0293
  0.2023   0.0489   0.0264   0.0645   0.0802   0.2023   7.0756   0.0489
  0.8006   0.4829   0.1095   0.1750   0.0401   0.8006   7.3512   0.4829
  0.1955   0.0459   0.0293   0.6276   0.5621   0.1955  16.5216   0.0459
  0.0381   0.3636   0.9228   0.0635   0.0264   0.0381  14.8017   0.3636
  0.6491   0.0098   0.0616   0.0020   0.0059   0.6491   6.0720   0.0098
  0.7507   0.2542   0.0137   0.0508   0.1388   0.7507   6.1180   0.2542
  0.0000   0.0342   0.0499   0.0196   0.1114   0.0000   7.5825   0.0342
  0.3754   0.7801   0.0000   0.1975   0.0645   0.3754   6.6634   0.7801
  0.1613   0.0244   0.0508   0.0176   0.0108   0.1613   6.3602   0.0244
  0.7077   0.7771   0.0254   0.0235   0.0068   0.7077   4.0789   0.7771
  0.6725   0.5073   0.0117   0.0186   0.0420   0.6725   5.9401   0.5073
  0.1398   0.4653   0.0469   0.0196   0.0098   0.1398   6.3864   0.4653
  0.8416   0.0205   0.0039   0.0362   0.1398   0.8416   5.9136   0.0205
  0.7742   0.6559   0.1320   0.0088   0.0323   0.7742   5.5364   0.6559
  0.0108   0.6481   0.2805   0.1007   0.0215   0.0108   9.0776   0.6481
