Williams Field Omnidirectional Variogram		
	lag (m)	semivariance (lbs/ac)^2
226.406	644.11309
227.979	644.905375
229.551	645.6366
231.123	646.317075
232.695	646.929285
234.268	647.5755
235.84	648.128675
237.412	648.625345
238.984	649.055115
240.557	649.404255
242.129	649.76036
243.701	650.088725
245.273	650.33188
246.846	650.50808
248.418	650.68374
249.99	650.803195
251.563	651.050605
253.135	651.28211
254.707	651.562985
256.279	651.856345
257.852	652.12517
259.424	652.312025
260.996	652.526845
262.568	652.70266
264.141	652.87597
265.713	653.068265
267.285	653.308335
268.857	653.57495
270.43	653.79272
272.002	653.99599
273.574	654.24205
275.147	654.530245
276.719	654.826205
278.291	655.172885
279.863	655.58875
281.436	655.98714
283.008	656.415795
284.58	656.838695
286.152	657.26888
287.725	657.702645
289.297	658.106995
290.869	658.494365
292.441	658.834165
294.014	659.153045
295.586	659.50649
297.158	659.923565
298.731	660.332275
300.303	660.74623
301.875	661.14906
303.447	661.614655
305.02	662.112795
306.592	662.60985
308.164	663.04843
309.736	663.516405
311.309	663.9748
312.881	664.438995
314.453	664.91758
316.025	665.400195
317.598	665.82443
319.17	666.16657
320.742	666.51061
322.315	666.850945
323.887	667.12642
325.459	667.356395
327.031	667.48825
328.604	667.54605
330.176	667.6054
331.748	667.734715
333.32	667.95949
334.893	668.215415
336.465	668.540725
338.037	668.93052
339.609	669.261565
341.182	669.63911
342.754	670.15865
344.326	670.70785
345.899	671.27912
347.471	671.880485
349.043	672.556755
350.615	673.2516
352.188	673.867265
353.76	674.493165
355.332	675.11789
356.904	675.781675
358.477	676.47484
360.049	677.196435
361.621	677.89343
363.193	678.56333
364.766	679.202825
366.338	679.777415
367.91	680.37487
369.483	680.942195
371.055	681.64073
372.627	682.32113
374.199	683.01105
375.772	683.723905
377.344	684.50229
378.916	685.29566
380.488	686.08959
382.061	686.837555
383.633	687.5866
385.205	688.32269
386.777	689.05857
388.35	689.776995
389.922	690.49969
391.494	691.232255
393.066	691.894895
394.639	692.53009
396.211	693.11311
397.783	693.659565
399.356	694.227555
400.928	694.716985
402.5	695.22263
404.072	695.724365
405.645	696.201175
407.217	696.660455
408.789	697.127285
410.361	697.618605
411.934	698.11113
413.506	698.55809
415.078	698.99865
416.65	699.4611
418.223	699.963305
419.795	700.47805
421.367	701.006975
422.94	701.532965
424.512	702.07867
426.084	702.625465
427.656	703.18846
429.229	703.75356
430.801	704.33985
432.373	704.934715
433.945	705.50408
435.518	706.11659
437.09	706.739035
438.662	707.319565
440.234	707.99194
441.807	708.630265
443.379	709.312145
444.951	709.97645
446.524	710.61544
448.096	711.24158
449.668	711.84136
451.24	712.32887
452.813	712.701985
454.385	713.01095
455.957	713.271155
457.529	713.51034
459.102	713.729945
460.674	713.85272
462.246	713.904435
463.818	713.856
465.391	713.74542
466.963	713.579125
468.535	713.360475
470.108	713.133955
471.68	712.959935
473.252	712.832635
474.824	712.678445
476.397	712.486205
477.969	712.21176
479.541	711.919985
481.113	711.6516
482.686	711.37327
484.258	711.05234
485.83	710.76619
487.402	710.56126
488.975	710.329545
490.547	710.15689
492.119	710.057525
493.692	709.99611
495.264	709.991655
496.836	710.08943
498.408	710.23591
499.981	710.458235
501.553	710.728465
503.125	711.06697
504.697	711.55043
506.27	712.08358
507.842	712.757765
509.414	713.57237
510.986	714.47905
512.559	715.48307
514.131	716.565105
515.703	717.7057
517.276	718.954525
518.848	720.25059
520.42	721.630685
521.992	723.030075
523.565	724.5417
525.137	726.129555
526.709	727.85035
528.281	729.576055
529.854	731.31608
531.426	733.009135
532.998	734.57492
534.57	736.065975
536.143	737.41754
537.715	738.801625
539.287	740.157125
540.859	741.48884
542.432	742.721635
544.004	743.865665
545.576	744.84913
547.149	745.770685
548.721	746.592165
550.293	747.315945
551.865	747.966585
553.438	748.56523
555.01	749.13992
556.582	749.76344
558.154	750.35995
559.727	750.778195
561.299	751.105965
562.871	751.38453
564.443	751.62496
566.016	751.76128
567.588	751.910245
569.16	751.97228
570.733	751.925685
572.305	751.86813
573.877	751.79206
575.449	751.627005
577.022	751.523555
578.594	751.319135
580.166	751.17736
581.738	751.062325
583.311	750.94301
584.883	750.801235
586.455	750.664795
588.027	750.519615
589.6	750.392525
591.172	750.14517
592.744	749.85489
594.317	749.568495
595.889	749.273125
597.461	748.99483
599.033	748.70581
600.606	748.363245
602.178	748.071595
603.75	747.8287
605.322	747.634905
606.895	747.42029
608.467	747.18046
610.039	746.92135
611.611	746.64535
613.184	746.436435
614.756	746.27296
616.328	746.08763
617.901	746.029175
619.473	746.02416
621.045	746.092775
622.617	746.169285
624.19	746.231145
625.762	746.21172
627.334	746.15948
628.906	746.05347
630.479	745.859425
632.051	745.635235
633.623	745.425395
635.195	745.173545
636.768	744.929765
638.34	744.675995
639.912	744.371855
641.484	744.021345
643.057	743.813395
644.629	743.544395
646.201	743.218085
647.774	742.790415
649.346	742.35189
650.918	741.817725
652.49	741.273735
654.063	740.65822
655.635	740.13365
657.207	739.645835
658.779	739.175585
660.352	738.766595
661.924	738.36252
663.496	738.023885
665.068	737.79647
666.641	737.551555
668.213	737.400725
669.785	737.259685
671.358	737.115695
672.93	737.00504
674.502	736.961395
676.074	737.031885
677.647	737.1073
679.219	737.15154
680.791	737.27903
682.363	737.48045
683.936	737.70129
685.508	738.03636
687.08	738.33385
688.653	738.61973
690.225	738.91854
691.797	739.332235
693.369	739.755975
694.942	740.231565
696.514	740.769245
698.086	741.26364
699.658	741.785535
701.231	742.196805
702.803	742.55254
704.375	742.796435
705.947	743.014225
707.52	743.21336
709.092	743.39865
710.664	743.60981
712.237	743.888275
713.809	744.14977
715.381	744.497615
716.953	744.842225
718.526	745.181255
720.098	745.53159
721.67	745.908105
723.242	746.221575
724.815	746.620665
726.387	747.00564
727.959	747.442255
729.531	747.887905
731.104	748.34836
732.676	748.889065
734.248	749.36058
735.82	749.857155
737.393	750.233505
738.965	750.5038
740.537	750.71346
742.11	750.86493
743.682	751.00285
745.254	751.192535
746.826	751.47389
748.399	751.892445
749.971	752.19343
751.543	752.55214
753.115	752.91284
754.688	753.327875
756.26	753.67722
757.832	753.977185
759.404	754.22581
760.977	754.51292
762.549	754.690845
764.121	754.759265
765.694	754.873405
767.266	754.94795
768.838	755.00975
770.41	755.13376
771.983	755.30368
773.555	755.530925
775.127	755.85206
776.699	756.21038
778.272	756.64226
779.844	757.23189
781.416	757.838425
782.988	758.53594
784.561	759.16172
786.133	759.747225
