0	0.00002
3.955	0.18837
14.73	0.33563
34.638	0.47165
47.835	0.49527
61.201	0.67294
76.022	0.64531
90.293	0.67277
105.828	0.74173
119.332	0.84886
135.293	0.86387
148.436	0.83702
162.035	0.8828
179.714	0.93375
195.231	0.86169
210.714	0.90731
224.936	0.8933
239.522	0.89504
254.253	0.95568
270.635	0.9534
285.362	0.91571
300.105	0.89146
316.249	0.94408
329.703	0.93675
346.003	0.96943
359.832	1.00259
374.7	1.00187
390.769	1.01658
405.013	1.03141
420.891	1.0178
434.334	1.04735
449.826	1.03665
464.595	1.06465
479.772	1.06511
496.246	1.02173
509.412	1.03194
525.409	1.01834
539.5	1.03097
554.633	1.06647
570.26	1.05251
584.893	1.00482
600.545	1.06367
614.585	1.05305
630.232	1.03487
644.637	1.05966
660.159	1.07644
675.419	1.05544
690.013	1.05619
705.702	1.06618
719.839	1.0572
734.878	1.00178
749.713	1.08489
